Title,Duration,Artist,Album,Scrobles,Year,Added_Date,Genre,Released_Date
Ladders,4:47,Mac Miller,Swimming,24,2018,04.08.2018 19:23,Хип-хоп/рэп,03.08.2018
Hurt Feelings,4:06,Mac Miller,Swimming,14,2018,04.08.2018 17:01,Хип-хоп/рэп,03.08.2018
Come Back to Earth,2:42,Mac Miller,Swimming,13,2018,04.08.2018 16:58,Хип-хоп/рэп,03.08.2018
"Где мои 16, Ч. 1 (feat. Крип-а-Крип)",2:46,Кажэ,Аврора,4,2018,03.08.2018 19:02,Хип-хоп/рэп,03.08.2018
Утопая,3:28,DaKooka,Форма - EP,7,2018,03.08.2018 18:46,Поп-музыка,03.08.2018
Рай,3:52,DaKooka,Форма - EP,5,2018,03.08.2018 18:38,Поп-музыка,03.08.2018
Напрасно,3:20,DaKooka,Форма - EP,8,2018,03.08.2018 18:37,Поп-музыка,03.08.2018
Чувствую,3:08,DaKooka,Форма - EP,10,2018,03.08.2018 18:32,Поп-музыка,03.08.2018
Минута,3:44,DaKooka,Форма - EP,8,2018,03.08.2018 18:32,Поп-музыка,03.08.2018
Всё Идёт по Плану,3:07,Егор Летов,Русское Поле Эксперимента (Акустика),6,1998,03.08.2018 11:14,Альтернативная музыка,15.05.1998
VENGEANCE l VENGEANCE (feat. JPEGMAFIA & ZillaKami),4:00,Denzel Curry,TA13OO,2,2018,02.08.2018 5:35,Hip Hop/Rap,27.07.2018
BLACK METAL TERRORIST l 13 M T,2:42,Denzel Curry,TA13OO,7,2018,02.08.2018 4:55,Хип-хоп/рэп,27.07.2018
Love Yourz,3:32,J. Cole,2014 Forest Hills Drive,4,2014,02.08.2018 3:35,Хип-хоп/рэп,09.12.2014
Apparently,4:53,J. Cole,2014 Forest Hills Drive,1,2014,02.08.2018 3:31,Хип-хоп/рэп,09.12.2014
PERCS l PERCZ,3:07,Denzel Curry,TA13OO,10,2018,02.08.2018 3:31,Хип-хоп/рэп,27.07.2018
CLOUT COBAIN l CLOUT CO13A1N,3:51,Denzel Curry,TA13OO,10,2018,02.08.2018 3:26,Хип-хоп/рэп,11.07.2018
Hello,3:39,J. Cole,2014 Forest Hills Drive,10,2014,02.08.2018 3:25,Hip Hop/Rap,09.12.2014
SIRENS l Z1RENZ (feat. J.I.D),3:56,Denzel Curry,TA13OO,12,2018,02.08.2018 3:20,Хип-хоп/рэп,27.07.2018
MAD I GOT IT l MAD 1 GOT 1T,3:52,Denzel Curry,TA13OO,9,2018,02.08.2018 3:03,Хип-хоп/рэп,27.07.2018
SWITCH IT UP l ZWITCH 1T UP,2:56,Denzel Curry,TA13OO,18,2018,02.08.2018 2:56,Хип-хоп/рэп,27.07.2018
Fire Squad,4:48,J. Cole,2014 Forest Hills Drive,8,2014,02.08.2018 2:09,Хип-хоп/рэп,09.12.2014
Wet Dreamz,3:59,J. Cole,2014 Forest Hills Drive,5,2014,02.08.2018 1:48,Хип-хоп/рэп,09.12.2014
Intro,2:09,J. Cole,2014 Forest Hills Drive,2,2014,02.08.2018 1:42,Хип-хоп/рэп,09.12.2014
Смех в пустоте (feat. Horus),3:10,SharOn,Театр одного Артёма,6,2018,30.07.2018 12:48,Хип-хоп/рэп,27.07.2018
Не помянет,3:36,SharOn,Театр одного Артёма,8,2018,30.07.2018 12:48,Хип-хоп/рэп,27.07.2018
Инопланетен,3:08,SharOn,Театр одного Артёма,7,2018,30.07.2018 11:48,Хип-хоп/рэп,27.07.2018
Занесло,4:11,SharOn,Театр одного Артёма,5,2018,30.07.2018 11:48,Хип-хоп/рэп,27.07.2018
Существа,3:46,SharOn,Театр одного Артёма,11,2018,30.07.2018 11:48,Хип-хоп/рэп,27.07.2018
В аду,4:19,SharOn,Театр одного Артёма,7,2018,30.07.2018 11:48,Хип-хоп/рэп,27.07.2018
Бардак,4:06,SharOn,Театр одного Артёма,10,2018,30.07.2018 11:48,Хип-хоп/рэп,27.07.2018
Пески,3:02,SharOn,Театр одного Артёма,4,2018,30.07.2018 11:48,Хип-хоп/рэп,27.07.2018
Астероид (feat. Зараза),3:17,SharOn,Театр одного Артёма,9,2018,30.07.2018 11:48,Хип-хоп/рэп,27.07.2018
Пора валить (feat. РИЧ & Вис Виталис),3:41,Захар Прилепин и Элефанк,Охотник,4,2015,27.07.2018 13:21,Альтернативная музыка,22.04.2015
1997 DIANA,2:16,BROCKHAMPTON,1997 DIANA - Single,,2018,27.07.2018 10:38,Hip Hop/Rap,26.07.2018
House In LA,4:46,Jungle,House In LA - Single,4,2018,27.07.2018 10:24,Electronic,05.05.2018
1998 TRUMAN,4:05,BROCKHAMPTON,1998 TRUMAN - Single,1,2018,27.07.2018 8:45,Хип-хоп/рэп,19.07.2018
Cherry,3:16,Jungle,Cherry - Single,6,2018,27.07.2018 8:24,Электронная музыка,26.07.2018
Happy Man,3:10,Jungle,Happy Man - Single,18,2018,27.07.2018 8:24,Электронная музыка,09.05.2018
"Heavy, California",3:05,Jungle,"Heavy, California - Single",10,2018,27.07.2018 8:24,Электронная музыка,26.07.2018
Magnitude,2:43,Грязный Рамирес,Magnitude - Single,10,2018,26.07.2018 7:58,Хип-хоп/рэп,31.05.2018
BLACK BALLOONS l 13LACK 13ALLOONZ (feat. Twelve'len & GoldLink),3:31,Denzel Curry,TA13OO,9,2018,25.07.2018 23:05,Хип-хоп/рэп,27.07.2018
TABOO l TA13OO,3:17,Denzel Curry,TA13OO,11,2018,25.07.2018 23:03,Hip-Hop/Rap,27.07.2018
Panda,4:08,Desiigner,Panda - Single,3,2015,25.07.2018 22:55,Хип-хоп/рэп,15.12.2015
Hot N*gga,3:14,Bobby Shmurda,Shmurda She Wrote - EP,2,2014,25.07.2018 22:53,Хип-хоп/рэп,03.09.2014
No Role Modelz,4:53,J. Cole,2014 Forest Hills Drive,15,2014,25.07.2018 22:53,Хип-хоп/рэп,09.12.2014
What's the Use?,4:49,Mac Miller,Swimming,10,2018,23.07.2018 18:27,Хип-хоп/рэп,23.07.2018
Look What U Started,4:31,The Internet,Hive Mind,8,2018,22.07.2018 17:53,R&B и соул,20.07.2018
Stay the Night,4:22,The Internet,Hive Mind,4,2018,22.07.2018 17:33,R&B и соул,20.07.2018
Stereocoma (feat. Oxxxymiron),4:08,Thomas Mraz,9 воскресений,4,2018,21.07.2018 18:28,Хип-хоп/рэп,22.04.2018
Контраст,3:26,abdr.,Контраст - Single,17,2018,18.07.2018 18:14,Хип-хоп/рэп,08.06.2018
Small Worlds,4:32,Mac Miller,Swimming,22,2018,16.07.2018 21:39,Хип-хоп/рэп,30.05.2018
Self Care,5:45,Mac Miller,Swimming,14,2018,16.07.2018 21:37,Хип-хоп/рэп,13.07.2018
Смотрящий,3:02,Хаски,Смотрящий - Single,18,2017,15.07.2018 7:40,Хип-хоп/рэп,12.12.2017
Nico And The Niners,3:45,twenty one pilots,Jumpsuit / Nico And The Niners - Single,75,2018,12.07.2018 13:50,Альтернативная музыка,11.07.2018
Jumpsuit,3:59,twenty one pilots,Jumpsuit / Nico And The Niners - Single,74,2018,12.07.2018 13:38,Альтернативная музыка,11.07.2018
Мы сидели и курили,3:19,Сплин,Реверсивная хроника событий,3,2004,12.07.2018 12:19,Альтернативная музыка,17.11.2004
Маяк,3:48,Сплин,Раздвоение личности,11,2007,12.07.2018 12:12,Рок,07.02.2007
Письмо,2:29,Сплин,Сигнал из космоса,24,2009,12.07.2018 12:09,Инди-рок,20.08.2009
Конец прекрасной эпохи,5:49,Сплин,Черновики,3,2004,12.07.2018 11:51,Рок,16.04.2004
"С добрым утром, любимая!",3:04,Олег Митяев,The Best,6,2015,08.07.2018 16:15,Авторы-исполнители,18.05.2015
Лето-это маленькая жизнь,3:14,Олег Митяев,The Best,5,2015,08.07.2018 16:15,Авторы-исполнители,18.05.2015
The Passenger,4:43,Iggy Pop,Lust For Life,7,1977,05.07.2018 23:41,Rock,27.08.1977
Lust For Life (The Prodigy Remix),5:00,Iggy Pop,Lust For Life (The Prodigy Remix) - Single,10,1977,05.07.2018 22:24,Рок,29.08.1977
Ratchet Happy Birthday,3:27,Drake,Scorpion,3,2018,30.06.2018 13:26,Hip Hop/Rap,29.06.2018
8 Out Of 10,3:16,Drake,Scorpion,3,2018,30.06.2018 12:26,Hip Hop/Rap,29.06.2018
Summer Games,4:08,Drake,Scorpion,5,2018,30.06.2018 12:26,Hip Hop/Rap,29.06.2018
Nice For What,3:31,Drake,Scorpion,10,2018,30.06.2018 12:26,Hip Hop/Rap,06.04.2018
Blue Tint,2:43,Drake,Scorpion,2,2018,30.06.2018 12:26,Хип-хоп/рэп,29.06.2018
March 14,5:10,Drake,Scorpion,3,2018,30.06.2018 12:26,Hip Hop/Rap,29.06.2018
Mob Ties,3:25,Drake,Scorpion,11,2018,30.06.2018 11:26,Хип-хоп/рэп,29.06.2018
Can't Take a Joke,2:44,Drake,Scorpion,17,2018,30.06.2018 11:26,Хип-хоп/рэп,29.06.2018
That's How You Feel,2:38,Drake,Scorpion,4,2018,30.06.2018 11:26,Хип-хоп/рэп,29.06.2018
In My Feelings,3:38,Drake,Scorpion,9,2018,30.06.2018 11:26,Хип-хоп/рэп,29.06.2018
After Dark (feat. Static Major & Ty Dolla $ign),4:50,Drake,Scorpion,2,2018,30.06.2018 11:26,Хип-хоп/рэп,29.06.2018
Final Fantasy,3:40,Drake,Scorpion,2,2018,30.06.2018 11:26,Хип-хоп/рэп,29.06.2018
Don't Matter To Me,4:06,Drake & Michael Jackson,Scorpion,2,2018,30.06.2018 11:26,Хип-хоп/рэп,29.06.2018
Earth Burns (feat. Oxxxymiron),4:14,PORCHY,Earth Burns (feat. Oxxxymiron) - Single,11,2018,29.06.2018 19:54,Хип-хоп/рэп,27.06.2018
God's Plan,3:19,Drake,Scorpion,1,2018,29.06.2018 11:32,Hip Hop/Rap,19.01.2018
Emotionless,5:02,Drake,Scorpion,6,2018,29.06.2018 9:32,Хип-хоп/рэп,29.06.2018
Nonstop,3:59,Drake,Scorpion,19,2018,29.06.2018 8:57,Хип-хоп/рэп,29.06.2018
Хочу,3:24,DaKooka,Герой,7,2018,22.06.2018 13:29,Pop,01.06.2018
Некому,3:27,DaKooka,Герой,18,2018,22.06.2018 13:29,Pop,01.06.2018
Герой,3:32,DaKooka,Герой,16,2018,22.06.2018 12:49,Поп-музыка,01.06.2018
Знаешь,3:14,DaKooka,Герой,12,2018,22.06.2018 11:45,Поп-музыка,01.06.2018
Брат,3:54,DaKooka,Герой,9,2018,22.06.2018 11:29,Поп-музыка,01.06.2018
Викрамадитья,3:29,М,Викрамадитья - Single,12,2018,22.06.2018 10:33,Хип-хоп/рэп,21.06.2018
Rolling Stone,3:37,Black Hippy,Setbacks,16,2011,19.06.2018 23:10,Хип-хоп/рэп,11.01.2011
Patience,3:26,Rebelution,Free Rein,13,2018,19.06.2018 20:39,Регги,15.06.2018
"Kontraband (feat. Damian ""Jr. Gong"" Marley)",4:06,Kabaka Pyramid,Kontraband,1,2018,19.06.2018 19:23,Reggae,25.05.2018
Hard Drive,2:49,"Shenseea, Konshens & Rvssian",Hard Drive - Single,3,2018,19.06.2018 18:09,Регги,15.06.2018
APES**T,4:25,THE CARTERS,EVERYTHING IS LOVE,,2018,19.06.2018 11:51,Hip Hop/Rap,16.06.2018
changes,2:02,XXXTENTACION,?,11,2018,19.06.2018 10:32,Поп-музыка,02.03.2018
Moonlight,2:15,XXXTENTACION,?,4,2018,19.06.2018 10:14,Поп-музыка,16.03.2018
HEARD ABOUT US,3:10,THE CARTERS,EVERYTHING IS LOVE,6,2018,19.06.2018 10:02,Хип-хоп/рэп,16.06.2018
713,3:13,THE CARTERS,EVERYTHING IS LOVE,4,2018,19.06.2018 9:55,Хип-хоп/рэп,16.06.2018
NICE,3:54,THE CARTERS,EVERYTHING IS LOVE,5,2018,19.06.2018 9:51,Хип-хоп/рэп,16.06.2018
SUMMER,4:45,THE CARTERS,EVERYTHING IS LOVE,5,2018,18.06.2018 21:08,Хип-хоп/рэп,16.06.2018
White Label,2:58,Nas,NASIR,,2018,18.06.2018 12:32,Hip Hop/Rap,15.06.2018
everything (feat. The-Dream & Kanye West),7:33,Nas,NASIR,1,2018,18.06.2018 11:32,Хип-хоп/рэп,15.06.2018
Adam and Eve (feat. The-Dream),4:11,Nas,NASIR,8,2018,18.06.2018 10:41,Хип-хоп/рэп,15.06.2018
Cops Shot the Kid (feat. Kanye West),2:48,Nas,NASIR,7,2018,18.06.2018 10:32,Хип-хоп/рэп,15.06.2018
Crazy in Love (feat. Jay-Z),3:56,Beyoncé,Dangerously in Love,1,2003,18.06.2018 9:47,Поп-музыка,18.05.2003
The Story of O.J.,3:52,JAY-Z,4:44,11,2017,17.06.2018 13:09,Хип-хоп/рэп,30.06.2017
OSOM (feat. J. Cole),5:23,Jay Rock,Redemption,10,2018,15.06.2018 13:59,Hip-Hop/Rap,15.06.2018
Tap Out (feat. Jeremih),3:20,Jay Rock,Redemption,5,2018,15.06.2018 13:56,Хип-хоп/рэп,15.06.2018
The Bloodiest,3:03,Jay Rock,Redemption,10,2018,15.06.2018 12:08,Hip-Hop/Rap,08.06.2018
Wow Freestyle (feat. Kendrick Lamar),2:55,Jay Rock,Redemption,10,2018,15.06.2018 11:33,Hip-Hop/Rap,15.06.2018
Represent,4:13,Nas,Illmatic,3,1994,15.06.2018 11:29,Хип-хоп/рэп,19.04.1994
Halftime,4:21,Nas,Illmatic,2,1992,15.06.2018 11:16,Хип-хоп/рэп,13.10.1992
N.Y. State of Mind,4:54,Nas,Illmatic,3,1994,15.06.2018 10:35,Хип-хоп/рэп,19.04.1994
HOTTIE,3:17,BROCKHAMPTON,SATURATION III,1,2017,14.06.2018 21:06,Hip Hop/Rap,15.12.2017
Fire Flies,3:53,Gorillaz,The Now Now,8,2018,14.06.2018 20:57,Альтернативная музыка,29.06.2018
Move Me,3:23,Mura Masa & Octavian,Move Me - Single,29,2018,14.06.2018 20:49,Электронная музыка,14.06.2018
ALASKA,3:19,BROCKHAMPTON,SATURATION III,7,2017,14.06.2018 20:04,Хип-хоп/рэп,15.12.2017
STUPID,3:37,BROCKHAMPTON,SATURATION III,3,2017,14.06.2018 18:59,Хип-хоп/рэп,15.12.2017
LIQUID,1:22,BROCKHAMPTON,SATURATION III,3,2017,14.06.2018 18:54,Hip-Hop/Rap,15.12.2017
TRIP,3:23,BROCKHAMPTON,SATURATION,8,2017,14.06.2018 12:10,Хип-хоп/рэп,09.06.2017
BUMP,2:38,BROCKHAMPTON,SATURATION,2,2017,14.06.2018 12:10,Хип-хоп/рэп,09.06.2017
STAR,2:41,BROCKHAMPTON,SATURATION,4,2017,14.06.2018 11:11,Хип-хоп/рэп,09.06.2017
HEAT,4:32,BROCKHAMPTON,SATURATION,2,2017,14.06.2018 10:45,Хип-хоп/рэп,09.06.2017
ZIPPER,3:22,BROCKHAMPTON,SATURATION III,3,2017,13.06.2018 9:18,Hip Hop/Rap,15.12.2017
GUMMY,4:21,BROCKHAMPTON,SATURATION II,,2017,13.06.2018 9:11,Hip Hop/Rap,02.08.2017
GOLD,4:26,BROCKHAMPTON,SATURATION,2,2017,13.06.2018 7:21,Хип-хоп/рэп,09.06.2017
BOOGIE,3:13,BROCKHAMPTON,SATURATION III,6,2017,13.06.2018 7:14,Хип-хоп/рэп,15.12.2017
JELLO,4:00,BROCKHAMPTON,SATURATION II,3,2017,12.06.2018 23:14,Hip Hop/Rap,25.08.2017
FACE,4:19,BROCKHAMPTON,SATURATION,3,2017,12.06.2018 22:54,Hip Hop/Rap,09.06.2017
4th Dimension (feat. Louis Prima),2:33,KIDS SEE GHOSTS,KIDS SEE GHOSTS,11,2018,11.06.2018 15:09,Hip Hop/Rap,08.06.2018
Kids See Ghosts (feat. Yasiin Bey),4:05,KIDS SEE GHOSTS,KIDS SEE GHOSTS,8,2018,11.06.2018 14:09,Hip Hop/Rap,08.06.2018
Feel the Love (feat. Pusha T),2:45,KIDS SEE GHOSTS,KIDS SEE GHOSTS,21,2018,11.06.2018 13:09,Хип-хоп/рэп,08.06.2018
Fire,2:21,KIDS SEE GHOSTS,KIDS SEE GHOSTS,9,2018,11.06.2018 13:09,Хип-хоп/рэп,08.06.2018
Reborn,5:25,KIDS SEE GHOSTS,KIDS SEE GHOSTS,39,2018,11.06.2018 13:09,Хип-хоп/рэп,08.06.2018
Cudi Montage,3:17,KIDS SEE GHOSTS,KIDS SEE GHOSTS,10,2018,11.06.2018 13:09,Хип-хоп/рэп,08.06.2018
Не слышу,2:23,Лиза Громова,Прелесть,8,2018,08.06.2018 18:19,Pop,08.06.2018
Дурачок,3:48,Лиза Громова,Прелесть,7,2018,08.06.2018 18:19,Pop,08.06.2018
Power,4:52,Канье Уэст,My Beautiful Dark Twisted Fantasy (Deluxe Edition),3,2010,08.06.2018 17:36,Хип-хоп/рэп,28.05.2010
Love Lockdown,4:30,Kanye West,808s & Heartbreak,6,2008,08.06.2018 17:31,Хип-хоп/рэп,18.09.2008
Перегрызут,3:54,Лиза Громова,Прелесть,4,2018,08.06.2018 17:19,Pop,08.06.2018
**Bonus Track** Diamonds From Sierra Leone (Explicit),3:58,Kanye West,Late Registration,4,2005,08.06.2018 17:12,Хип-хоп/рэп,29.08.2005
All Mine,2:26,Kanye West,ye,4,2018,08.06.2018 17:08,Хип-хоп/рэп,01.06.2018
All of the Lights,5:00,Kanye West,My Beautiful Dark Twisted Fantasy (Deluxe Edition),3,2010,08.06.2018 16:48,Хип-хоп/рэп,22.11.2010
Шаг,3:12,Лиза Громова,Прелесть,9,2018,08.06.2018 16:19,Поп-музыка,08.06.2018
Пустяк,4:12,Лиза Громова,Прелесть,10,2018,08.06.2018 16:19,Поп-музыка,08.06.2018
Глаза (feat. Мальбэк),3:51,Лиза Громова,Прелесть,9,2018,08.06.2018 16:19,Поп-музыка,08.06.2018
Облака,3:50,Лиза Громова,Прелесть,8,2018,08.06.2018 16:10,Поп-музыка,08.06.2018
Город,2:11,Лиза Громова,Прелесть,7,2018,08.06.2018 16:05,Поп-музыка,08.06.2018
Give Up the Goods (Just Step) [feat. Big Noyd],4:03,Mobb Deep featuring Noyd,The Infamous,1,1995,08.06.2018 10:25,Хип-хоп/рэп,25.04.1995
Орфей vs. Нарцисс (feat. Анастасия Александрина),1:59,Noize MC,Хипхопера: Орфей & Эвридика,7,2018,03.06.2018 1:15,Hip Hop/Rap,31.05.2018
СИМУЛЯКР,3:41,Pyrokinesis,Корми демонов по расписанию,11,2018,03.06.2018 0:25,Хип-хоп/рэп,13.04.2018
Ничего святого,3:30,Pyrokinesis,Корми демонов по расписанию,12,2018,03.06.2018 0:25,Хип-хоп/рэп,13.04.2018
Самое грустное диско,3:09,Pyrokinesis,Корми демонов по расписанию,12,2018,03.06.2018 0:25,Хип-хоп/рэп,13.04.2018
Корми демонов по расписанию,4:00,Pyrokinesis,Корми демонов по расписанию,13,2018,03.06.2018 0:25,Хип-хоп/рэп,13.04.2018
Не время для драконов,3:51,Pyrokinesis,Корми демонов по расписанию,10,2018,03.06.2018 0:25,Хип-хоп/рэп,13.04.2018
Цветы над черепами (feat. STED.D),4:05,Pyrokinesis,Корми демонов по расписанию,13,2018,03.06.2018 0:25,Хип-хоп/рэп,13.04.2018
Голос & струны (Орфей),3:03,Noize MC,Хипхопера: Орфей & Эвридика,9,2018,03.06.2018 0:15,Хип-хоп/рэп,31.05.2018
С нами (Орфей и Эвридика) [feat. Leila],3:17,Noize MC,Хипхопера: Орфей & Эвридика,8,2018,03.06.2018 0:15,Хип-хоп/рэп,31.05.2018
"Камера, мотор! (Аид, Орфей, Фортуна) [feat. Noize MC & Анастасия Александрина]",3:58,Олег Груз,Хипхопера: Орфей & Эвридика,6,2018,03.06.2018 0:15,Хип-хоп/рэп,31.05.2018
30 Hours,5:23,Канье Уэст,The Life of Pablo,1,2016,02.06.2018 11:56,Hip Hop/Rap,14.02.2016
No More Parties in LA,6:14,Kanye West,The Life of Pablo,6,2016,02.06.2018 10:59,Хип-хоп/рэп,14.02.2016
Famous,3:16,Kanye West,The Life of Pablo,6,2016,02.06.2018 9:46,Хип-хоп/рэп,14.02.2016
Violent Crimes,3:35,Kanye West,ye,7,2018,01.06.2018 23:41,Хип-хоп/рэп,01.06.2018
Ghost Town (feat. PARTYNEXTDOOR),4:31,Kanye West,ye,22,2018,01.06.2018 23:37,Хип-хоп/рэп,01.06.2018
Yikes,3:09,Kanye West,ye,32,2018,01.06.2018 23:28,Хип-хоп/рэп,01.06.2018
Faded (feat. Dizaster),4:02,Porchy,Faded (feat. Dizaster) - Single,6,2018,01.06.2018 23:21,Хип-хоп/рэп,31.05.2018
Инопланетяне,2:58,XACV SQUAD,XACV SQUAD,3,2018,29.05.2018 23:28,Хип-хоп/рэп,14.04.2018
Отель (feat. Марина Кацуба),3:23,Мэйти,Великий русский никто - EP,3,2017,26.05.2018 18:26,Хип-хоп/рэп,03.11.2017
Спи детка,3:43,Мэйти,Великий русский никто - EP,2,2017,26.05.2018 18:26,Hip Hop/Rap,03.11.2017
Глупая девочка,2:42,Мэйти,Великий русский никто - EP,3,2017,26.05.2018 17:58,Хип-хоп/рэп,03.11.2017
Белые сады,3:59,Мэйти,Великий русский никто - EP,16,2017,26.05.2018 17:40,Хип-хоп/рэп,03.11.2017
Огни,4:17,Мэйти,Великий русский никто - EP,13,2017,26.05.2018 17:26,Хип-хоп/рэп,03.11.2017
Этажи,3:47,Мэйти,Великий русский никто - EP,7,2017,26.05.2018 16:53,Хип-хоп/рэп,03.11.2017
Brotha Man (feat. French Montana),3:36,A$AP Rocky,TESTING,19,2018,26.05.2018 12:33,Хип-хоп/рэп,25.05.2018
Praise the Lord (Da Shine) [feat. Skepta],3:26,A$AP Rocky,TESTING,6,2018,26.05.2018 12:24,Хип-хоп/рэп,25.05.2018
F**k Sleep (feat. FKA twigs),3:13,A$AP Rocky,TESTING,11,2018,26.05.2018 12:23,Хип-хоп/рэп,25.05.2018
Tony Tone,3:28,A$AP Rocky,TESTING,11,2018,26.05.2018 12:14,Хип-хоп/рэп,25.05.2018
Distorted Records,2:20,A$AP Rocky,TESTING,13,2018,26.05.2018 12:14,Хип-хоп/рэп,25.05.2018
"A$AP Forever (feat. Moby, T.I. & Kid Cudi)",5:16,A$AP Rocky,TESTING,11,2018,26.05.2018 12:14,Хип-хоп/рэп,25.05.2018
Кумушки,3:33,Монеточка,Раскраски для взрослых,9,2018,25.05.2018 22:00,Тин-поп,25.05.2018
Запорожец,2:49,Монеточка,Раскраски для взрослых,7,2018,25.05.2018 21:14,Teen Pop,25.05.2018
Твоё имя,3:01,Монеточка,Раскраски для взрослых,6,2018,25.05.2018 21:10,Тин-поп,25.05.2018
Пост-пост,3:48,Монеточка,Раскраски для взрослых,15,2018,25.05.2018 21:07,Тин-поп,25.05.2018
90,3:22,Монеточка,Раскраски для взрослых,8,2018,25.05.2018 21:04,Тин-поп,25.05.2018
Ночной ларёк,2:44,Монеточка,Раскраски для взрослых,11,2018,25.05.2018 13:25,Teen Pop,25.05.2018
Нет монет,4:38,Монеточка,Раскраски для взрослых,10,2018,25.05.2018 13:25,Teen Pop,25.05.2018
Нимфоманка,2:41,Монеточка,Раскраски для взрослых,8,2018,25.05.2018 13:25,Teen Pop,25.05.2018
Русский ковчег,3:34,Монеточка,Раскраски для взрослых,13,2018,25.05.2018 13:09,Teen Pop,25.05.2018
Помни,3:15,MATRANG,ЭЙА,6,2018,25.05.2018 12:10,Hip Hop/Rap,25.05.2018
Каждый раз,3:28,Монеточка,Раскраски для взрослых,16,2018,25.05.2018 11:25,Тин-поп,25.05.2018
О мой Бог,2:55,MATRANG,ЭЙА,15,2018,25.05.2018 11:10,Хип-хоп/рэп,25.05.2018
Вода,2:56,MATRANG,ЭЙА,8,2018,25.05.2018 9:46,Хип-хоп/рэп,04.05.2018
Я не расскажу,3:14,MATRANG,ЭЙА,8,2018,25.05.2018 9:46,Хип-хоп/рэп,25.05.2018
"Там, где",2:53,MATRANG,ЭЙА,8,2018,25.05.2018 9:40,Хип-хоп/рэп,25.05.2018
Survival of the Fittest,3:45,Mobb Deep,The Infamous,4,1995,20.05.2018 14:49,Hip Hop/Rap,25.04.1995
Heart Is Full (Remix) [feat. Run The Jewels] [Bonus Track],3:58,Miike Snow,iii,1,2016,20.05.2018 14:47,Alternative,04.03.2016
Iron,3:07,Woodkid,Iron EP,4,2011,20.05.2018 14:19,Альтернативная музыка,28.03.2011
I Love You,3:50,Woodkid,The Golden Age,5,2013,20.05.2018 13:54,Alternative,09.02.2013
Your Way,6:00,Netsky,Your Way / Daydreamin - Single,1,2010,20.05.2018 13:50,Electronic,26.04.2010
Default,3:06,Django Django,Django Django,1,2011,20.05.2018 13:37,Alternative,09.12.2011
Blood,4:14,Band of Skulls,Baby Darling Doll Face Honey,4,2009,20.05.2018 13:32,Рок,20.03.2009
Wasteland,3:11,Woodkid,Iron EP,5,2011,20.05.2018 13:19,Альтернативная музыка,28.03.2011
Этюд в багровых тонах,4:13,Рем Дигга,Крокодил говорит,4,2012,20.05.2018 13:10,Хип-хоп/рэп,18.07.2012
Дар,3:21,Рем Дигга,Крокодил говорит,3,2012,20.05.2018 13:10,Хип-хоп/рэп,18.07.2012
2 орла,3:45,Рем Дигга,Крокодил говорит,7,2012,20.05.2018 13:08,Хип-хоп/рэп,18.07.2012
Я вижу свет,4:59,Александр Розенбаум,Я вижу свет,10,2005,20.05.2018 12:57,Русский шансон,20.12.2005
Hypnotic,2:57,Zella Day,Kicker,5,2014,20.05.2018 12:55,Альтернативная музыка,21.10.2014
Artifice,3:18,SOHN,Tremors,7,2014,20.05.2018 12:53,Электронная музыка,07.04.2014
Против течения,3:04,Sifo,FRESH AIR (Hosted by Zloi Negr),8,2017,20.05.2018 12:53,Хип-хоп/рэп,05.05.2017
El Bandido,6:37,Nicolas Jaar,Significant Others,2,2009,20.05.2018 12:52,Электронная музыка,08.03.2009
Final Song,3:56,MØ,Final Song - Single,4,2016,20.05.2018 12:49,Поп-музыка,13.05.2016
Our Own House,3:52,MisterWives,Our Own House,6,2015,20.05.2018 12:48,Альтернативная музыка,24.02.2015
Paper Planes,3:25,M.I.A.,Kala,1,2007,20.05.2018 12:44,Электронная музыка,08.08.2007
Go (feat. Blood Diamonds),4:01,Grimes,Go (feat. Blood Diamonds) - Single,3,2014,20.05.2018 12:42,Электронная музыка,03.07.2014
Goodbye (feat. Lyse),4:51,Feder,Радио Шоколад. Музыка со вкусом,1,2014,20.05.2018 12:39,Танцевальная музыка,10.11.2014
Tiimmy Turner,4:00,Desiigner,Tiimmy Turner - Single,2,2016,20.05.2018 12:36,Хип-хоп/рэп,22.07.2016
Bang Bang (My Baby Shot Me Down),3:25,Frank Sinatra,She Shot Me Down,4,1981,20.05.2018 12:30,Поп-музыка,01.11.1981
You Be Killin Em (Freestyle),2:46,Ace Hood,I Do It....For the Sport (Mixtape),4,2010,20.05.2018 12:24,Хип-хоп/рэп,31.12.2010
Crush on You,4:03,Woodju,Ephemeral,3,2018,19.05.2018 18:10,Electronic,17.05.2018
В никуда,2:19,MR.SEA,Подводный огонь,5,2017,19.05.2018 17:43,Альтернативный рэп,21.12.2017
Второй дом,3:12,MR.SEA,Подводный огонь,1,2017,19.05.2018 17:36,Альтернативный рэп,21.12.2017
Erase Me,3:57,Woodju,Ephemeral,21,2018,19.05.2018 17:10,Electronic,17.05.2018
Подводный огонь,3:25,MR.SEA,Подводный огонь,3,2017,19.05.2018 16:47,Альтернативный рэп,21.12.2017
Огонь на горе,2:24,MR.SEA,Подводный огонь,6,2017,19.05.2018 16:27,Альтернативный рэп,21.12.2017
Иду на их зов,1:39,MR.SEA,Подводный огонь,5,2017,19.05.2018 16:24,Альтернативный рэп,21.12.2017
